,speaker,text,timestamp,clean_text
33,Joscha Bach," The easiest answer is existence is the default, right? So this is the lowest number of bits that you would need to encode this.",1900-01-01 00:12:18,easiest answer existence default right lowest number bit would need encode
34,Lex Fridman, Whose answer? Who brought...,1900-01-01 00:12:23,whose answer brought
35,Joscha Bach, The simplest answer to this is that existence is the default.,1900-01-01 00:12:24,simplest answer existence default
36,Lex Fridman," What about non-existence? I mean, that seems...",1900-01-01 00:12:28,non existence mean seems
37,Joscha Bach," Non-existence might not be a meaningful notion in this sense. So in some sense, if everything that can exist exists, for something to exist, it probably needs to be implementable. The only thing that can be implemented is finite automata. So maybe the whole of existence is the superposition of all finite automata. And we are in some region of the fractal that has the properties that it can contain us.",1900-01-01 00:12:30,non existence might meaningful notion sense sense everything exist exists something exist probably need implementable thing implemented finite automaton maybe whole existence superposition finite automaton region fractal property contain u
38,Lex Fridman," What does it mean to be a superposition of finite auto... Swinish superposition of all, like all possible rules?",1900-01-01 00:12:51,mean superposition finite auto swinish superposition like possible rule
39,Joscha Bach, Imagine that every automaton is basically an operator that acts on some substrate and as a result you get emergent patterns.,1900-01-01 00:12:59,imagine every automaton basically operator act substrate result get emergent pattern
40,Lex Fridman, what's the substrate?,1900-01-01 00:13:06,substrate
41,Joscha Bach," Um, I have no idea to know.",1900-01-01 00:13:08,um idea know
42,Lex Fridman," Or some substrate,",1900-01-01 00:13:10,substrate
43,Joscha Bach, it's something that can store information.,1900-01-01 00:13:11,something store information
44,Lex Fridman," something they can store information, there's automata...",1900-01-01 00:13:15,something store information automaton
45,Joscha Bach, Something that can hold state.,1900-01-01 00:13:17,something hold state
46,Lex Fridman," Still doesn't make sense to me the why that exists at all? I could just sit there with a with a beer or or a vodka and just enjoy the fact, pondering the why.",1900-01-01 00:13:18,still make sense exists could sit beer vodka enjoy fact pondering
47,Joscha Bach, May not have a why. This might be the wrong direction to ask into this.,1900-01-01 00:13:28,may might wrong direction ask
48,Joscha Bach, So there could be no relation in the why direction without asking for a purpose or for a cause. It doesn't mean that everything has to have a purpose or a cause. Right?,1900-01-01 00:13:32,could relation direction without asking purpose cause mean everything purpose cause right
49,Lex Fridman," So we mentioned some philosophers in that early, just taking a brief step back into into that.",1900-01-01 00:13:42,mentioned philosopher early taking brief step back
50,Joscha Bach," Ok, so we asked ourselves, when did classical philosophy end? I think for Germany it largely ended with the first revolution. That's basically when...",1900-01-01 00:13:48,ok asked classical philosophy end think germany largely ended first revolution basically
51,Lex Fridman, which one's that?,1900-01-01 00:13:56,one
52,Joscha Bach," This was when ended the monarchy and started a democracy. And at this point, we basically came up with a new form of government that didn't have a good sense of this new organism that society wanted to be and in a way it decapitated the universities. So the universities went on through modernism like a headless chicken.",1900-01-01 00:13:57,ended monarchy started democracy point basically came new form government good sense new organism society wanted way decapitated university university went modernism like headless chicken
53,Joscha Bach," At the same time, democracy failed in Germany and we got fascism as the result. And it burned down things in a similar way as Stalinism burned down intellectual traditions in Russia. And Germany, both Germanys, have not recovered from this. Eastern Germany had this vulgar dialectic materialism and western Germany didn't get much more edgy than Habermas. So in some sense, both countries lost their intellectual traditions, and killing off and driving out the Jews didn't help.",1900-01-01 00:14:16,time democracy failed germany got fascism result burned thing similar way stalinism burned intellectual tradition russia germany germany recovered eastern germany vulgar dialectic materialism western germany get much edgy habermas sense country lost intellectual tradition killing driving jew help
54,Lex Fridman," Yes, that was the end. That was the end of really rigorous of what you would say is classical classical philosophy.",1900-01-01 00:14:44,yes end end really rigorous would say classical classical philosophy
55,Joscha Bach," There's also this thing that in some sense, the low hanging fruits in philosophy were mostly wrapped. And the last big things that we discovered was the constructivist turn in mathematics. So to understand that the parts of mathematics that work are computation. There was a very significant discovery in the first half of the 20th century and it hasn't fully permeated philosophy and even physics yet. Physicists checked out the code libraries for mathematics before constructivism became universal.",1900-01-01 00:14:50,also thing sense low hanging fruit philosophy mostly wrapped last big thing discovered constructivist turn mathematics understand part mathematics work computation significant discovery first half century fully permeated philosophy even physic yet physicist checked code library mathematics constructivism became universal
56,Lex Fridman," Whats constructivism, what... Are you referring to Godel's incompleteness theorem, that kind of those kinds of ideas.",1900-01-01 00:15:24,whats constructivism referring godel incompleteness theorem kind kind idea
57,Joscha Bach," Yes. So basically, Godel himself, I think, didn't get it yet. Hilbert could get it. Hilbert saw that, for instance, a counters set theoretical experiments in mathematics led into contradictions. And he noticed that with the current semantics we cannot build a computer in mathematics that runs mathematics without crashing. And Godel could prove this. And so what Godel could show is: using classical mathematical semantics, you run into contradictions. And because Godel strongly believed in these semantics and more then in what you could observe and so on, he was shocked.",1900-01-01 00:15:29,yes basically godel think get yet hilbert could get hilbert saw instance counter set theoretical experiment mathematics led contradiction noticed current semantics cannot build computer mathematics run mathematics without crashing godel could prove godel could show using classical mathematical semantics run contradiction godel strongly believed semantics could observe shocked
58,Joscha Bach," It basically shook his world to the core because, in some sense, he felt that the world has to be implemented in classical mathematics.",1900-01-01 00:16:01,basically shook world core sense felt world implemented classical mathematics
59,Lex Fridman, Yes.,1900-01-01 00:16:07,yes
60,Joscha Bach," And for Turing, it wasn't quite so bad. I think that Turing could see that the solution is to understand that mathematics was computation all along, which means, for instance, PI in classical mathematics is a value. It's also a function, but it's the same thing. And in computation, a function is only a value when you can compute it. And if you cannot compute the last digit of PI, you only have a function.",1900-01-01 00:16:07,turing quite bad think turing could see solution understand mathematics computation along mean instance pi classical mathematics value also function thing computation function value compute cannot compute last digit pi function
61,Joscha Bach," You can plug this function into your local sun, let it run until the sun burns out, this is it. This is the last digit of pi, you will know. But it also means there can be no process in the physical universe or in any physically realized computer that depends on having known the last digit of PI.",1900-01-01 00:16:32,plug function local sun let run sun burn last digit pi know also mean process physical universe physically realized computer depends known last digit pi
62,Lex Fridman, Yes,1900-01-01 00:16:47,yes
63,Joscha Bach, Which means there are parts of physics that are defined in such a way that cannot strictly be true because assuming that this could be true leads into contradictions.,1900-01-01 00:16:48,mean part physic defined way cannot strictly true assuming could true lead contradiction
64,Lex Fridman, So I think putting computation at the center of the world view is actually the right way to think about it.,1900-01-01 00:16:55,think putting computation center world view actually right way think
65,Joscha Bach, Yes. And Wittgenstein could see it. And Wittgenstein basically preempted the largest program of A.I. that Minsky started later. Like 30 years later. Turing was actually a pupil of Wittgenstein. And...,1900-01-01 00:17:02,yes wittgenstein could see wittgenstein basically preempted largest program minsky started later like year later turing actually pupil wittgenstein
66,Lex Fridman, Really? I didn't know there's any connection between Turing and Wittgenstein...,1900-01-01 00:17:14,really know connection turing wittgenstein
67,Joscha Bach, Yeah! Wittgenstein even canceled some classes when Turing was not present because he thought it was not worth spending the time on with the others.,1900-01-01 00:17:17,yeah wittgenstein even canceled class turing present thought worth spending time others
68,Lex Fridman, That's interesting.,1900-01-01 00:17:22,interesting
69,Joscha Bach," If you read the Tractatus, it's a very beautiful book, basically one thought on 75 pages. It's very nontropical for philosophy because it doesn't have arguments in it and it doesn't have references in it. It's just one thought that is not intending to convince anybody. Thesis says it's mostly for people that had the same insight as me. Just spell it out. And this insight is: there is a way in which mathematics and philosophy ought to meet. Mathematics tries to understand the domain of all languages by starting with those that are so formalisable that you can prove all the properties of the statements that you make.",1900-01-01 00:17:24,read tractatus beautiful book basically one thought page nontropical philosophy argument reference one thought intending convince anybody thesis say mostly people insight spell insight way mathematics philosophy ought meet mathematics try understand domain language starting formalisable prove property statement make
70,Joscha Bach," But the price that you pay is that your language is very, very simple. So it's very hard to say something meaningful in mathematics.",1900-01-01 00:17:59,price pay language simple hard say something meaningful mathematics
71,Lex Fridman, Yes,1900-01-01 00:18:05,yes
72,Joscha Bach," And it looks complicated to people, but it's far less complicated than what our brain is casually doing all the time when it makes sense of reality.",1900-01-01 00:18:06,look complicated people far le complicated brain casually time make sense reality
73,Lex Fridman, That's right.,1900-01-01 00:18:12,right
74,Joscha Bach, And philosophy is coming from the top. So it's mostly starting from natural languages with vaguely defined concepts. And the hope is that mathematics and philosophy can meet at some point.,1900-01-01 00:18:13,philosophy coming top mostly starting natural language vaguely defined concept hope mathematics philosophy meet point
75,Joscha Bach," And Wittgenstein was trying to make them meet. And he already understood that, for instance, you could express everything with the NAND calculus, that you could produce the entire logic to NAND gates, as we do in our modern computers. So in some sense, he already understood Turing Universality before Turing spelled it out. I think when he wrote the Tractatus, he didn't understand yet that the idea was so important and significant. And I suspect then when Turing wrote it out, nobody cared that much. Turing was not that famous when he lived, it was mostly his work in decrypting the German codes that made him famous or gave him some notoriety. But this saint status that he has to computer science right now and A.I. is something that I think he got acquired later.",1900-01-01 00:18:23,wittgenstein trying make meet already understood instance could express everything nand calculus could produce entire logic nand gate modern computer sense already understood turing universality turing spelled think wrote tractatus understand yet idea important significant suspect turing wrote nobody cared much turing famous lived mostly work decrypting german code made famous gave notoriety saint status computer science right something think got acquired later
76,Lex Fridman," That's kind of interesting. Do you think of computation and computer science and you kind of represent that to me... Maybe that's the modern day... You, in a sense, are the new philosopher by... Sort of the computer scientist who dares to ask the bigger questions. That philosophy originally started is the new philosophy, is the new philosopher.",1900-01-01 00:19:04,kind interesting think computation computer science kind represent maybe modern day sense new philosopher sort computer scientist dare ask bigger question philosophy originally started new philosophy new philosopher
77,Joscha Bach," Certainly not me, I think. I'm mostly still this child that grows up in a very beautiful valley and looks at the world from the outside and tries to understand what's going on. And my teachers tell me things and they largely don't make sense.",1900-01-01 00:19:24,certainly think mostly still child grows beautiful valley look world outside try understand going teacher tell thing largely make sense
78,Lex Fridman, Right.,1900-01-01 00:19:36,right
79,Joscha Bach," So I have to make my own models. I have to discover the foundations of what the others are saying, I have to try to fix them. To be charitable, I try to understand what they must have thought originally, or what their teachers or their teachers teachers must have thought until everything got lost in translation. And how to make sense of the reality that we are in.",1900-01-01 00:19:36,make model discover foundation others saying try fix charitable try understand must thought originally teacher teacher teacher must thought everything got lost translation make sense reality
80,Joscha Bach," And whenever I have an original idea, I'm usually late to the party by, say, 400 years. And the only thing that's good is that the parties get smaller and smaller the older I get and the more I explore.",1900-01-01 00:19:53,whenever original idea usually late party say year thing good party get smaller smaller older get explore
81,Lex Fridman, The parties get smaller?,1900-01-01 00:20:04,party get smaller
82,Joscha Bach, and more exclusive,1900-01-01 00:20:05,exclusive
83,Lex Fridman," and more exclusive. So it seems like one of the key qualities of your upbringing was that you were not tethered. Whether it's because your parents or in general, maybe you're something within your within your mind, some genetic material.",1900-01-01 00:20:06,exclusive seems like one key quality upbringing tethered whether parent general maybe something within within mind genetic material
84,Lex Fridman," They were not tethered to the ideas of the general populace, which is actually a unique property. We're kind of, you know, the education system and whatever from the education system, just existing in this world forces a certain set of ideas into you. Can you disentangle that?",1900-01-01 00:20:22,tethered idea general populace actually unique property kind know education system whatever education system existing world force certain set idea disentangle
85,Lex Fridman," Why were you... Why are you not so tethered even in your work today, you seem to not care about perhaps a best paper in Europe's. Right?",1900-01-01 00:20:40,tethered even work today seem care perhaps best paper europe right
86,Lex Fridman," Being tethered to particular things that current today. In this year, people seem to value as a thing you put on your CV and resume. You're a little bit more outside of that world, outside of the world of ideas that people especially focus on the benchmarks of today, the things what can you disentangle that? Because I think that's inspiring. And if there were more people like that, we might be able to solve some of the bigger problems that sort of AI dreams to solve.",1900-01-01 00:20:53,tethered particular thing current today year people seem value thing put cv resume little bit outside world outside world idea people especially focus benchmark today thing disentangle think inspiring people like might able solve bigger problem sort ai dream solve
87,Joscha Bach," There's a big danger in this, because, in a way, you are expected to marry into an intellectual tradition and within this tradition into a particular school. If everybody comes up with their own paradigms, the whole thing is not cumulative as an enterprise.",1900-01-01 00:21:22,big danger way expected marry intellectual tradition within tradition particular school everybody come paradigm whole thing cumulative enterprise
88,Lex Fridman, Right.,1900-01-01 00:21:37,right
89,Joscha Bach," So in some sense, you need a healthy balance. You need paradigmatic thinkers and you need people that work within given paradigms. Basically scientists today define themselves largely by methods. And it's almost a disease that we think as a scientist, somebody who was convinced by their guidance counselor that they should join a particular discipline and then they find a good mentor to learn the right methods and then they are lucky enough and privileged enough to join the right team. And then their name will show up on influential papers. But we also see that there are diminishing returns with this approach.",1900-01-01 00:21:37,sense need healthy balance need paradigmatic thinker need people work within given paradigm basically scientist today define largely method almost disease think scientist somebody convinced guidance counselor join particular discipline find good mentor learn right method lucky enough privileged enough join right team name show influential paper also see diminishing return approach
90,Joscha Bach," And when our field computer science AI started, most of the people that joined this field had interesting opinions. And today's thinkers in A.I. either don't have interesting opinions at all, or these opinions are inconsequential for what they're actually doing. Because what they're doing is, they apply the state of the art methods with a small epsilon. And this is often a good idea if you think that this is the best way to make progress. And for me it's, first of all, very boring. If somebody else can do it, why should I do it, right? If the current methods of machine learning lead to strong A.I., why should I be doing it? Right?",1900-01-01 00:22:10,field computer science ai started people joined field interesting opinion today thinker either interesting opinion opinion inconsequential actually apply state art method small epsilon often good idea think best way make progress first boring somebody else right current method machine learning lead strong right
91,Joscha Bach," I will just wait until they're done and wait until they do this on the beach. Or read interesting books or write them and have fun. But if you don't think that we're currently doing the right thing, if we are missing some perspectives, then it's required to think outside of the box. It's also required to understand the boxes. But it's necessary to understand what worked and what didn't work and for what reasons. So you have to be willing to ask new questions and design new methods whenever you want to answer them.",1900-01-01 00:22:48,wait done wait beach read interesting book write fun think currently right thing missing perspective required think outside box also required understand box necessary understand worked work reason willing ask new question design new method whenever want answer
92,Joscha Bach, And you have to be willing to dismiss the existing methods if you think that they're not going to yield the right answers. It's very bad career advice to do that.,1900-01-01 00:23:21,willing dismiss existing method think going yield right answer bad career advice
93,Lex Fridman," So maybe to briefly stay for one more time in the early days, when would you say for you was the dream -before we dive into the discussions that we just almost started- when was the dream to understand or maybe to create human level intelligence born for you?",1900-01-01 00:23:30,maybe briefly stay one time early day would say dream dive discussion almost started dream understand maybe create human level intelligence born
94,Joscha Bach," I think that you can see AI largely today as advanced information processing. If you would change the acronym of A.I. into that, most people in the field would be happy. It would not change anything what they're doing . We're automating statistics and many of the statistical models are more advanced than what statisticians had in the past. And it's pretty good work. It's very productive.",1900-01-01 00:23:52,think see ai largely today advanced information processing would change acronym people field would happy would change anything automating statistic many statistical model advanced statistician past pretty good work productive
95,Joscha Bach, And the other aspect of AI is this philosophical project. And this philosophical project is very risky. And very few people work on it and it's not clear if it succeeds.,1900-01-01 00:24:16,aspect ai philosophical project philosophical project risky people work clear succeeds
96,Lex Fridman," So first of all, you keep throwing sort of a lot of really interesting ideas. And I have to pick which ones we go with. But sort of... First of all, you use the term information processing. Just information processing, as if it's it's the mere... It's the muck of existence, as if it's the epitome of that, that the entirety of the universe may be information processes, that consciousness and intelligence might be information... So that maybe you can comment on if that's... If the advanced information processing is is a limiting kind of realm of ideas. And then the other one is, what do you mean by the philosophical project?",1900-01-01 00:24:27,first keep throwing sort lot really interesting idea pick one go sort first use term information processing information processing mere muck existence epitome entirety universe may information process consciousness intelligence might information maybe comment advanced information processing limiting kind realm idea one mean philosophical project
